# Normative statements with no citing test: the accepted backlog.
# Regenerate: UPDATE_SPEC_COVERAGE_BASELINE=1 cargo test -p vouch-tests --test spec_coverage
# This list may only shrink -- see crates/vouch-tests/tests/spec_coverage.rs.
req_id	strength	text
ctap-2.0-ps-20190130#8.2.3#81bc2f42	MUST	A client SHALL send a Select to the authenticator before any other command.
ctap-2.0-ps-20190130#8.2.3#9c8daa0e	MUST	• If the authenticator implements CTAP1/U2F, the version information SHALL be the string "U2F_V2", or 0x5532465f5632, to maintain backwards-compatibility with C
ctap-2.0-ps-20190130#8.2.3#f324e642	MUST	Clients MUST fall back to the previously defined selection process if the additional selection mechanisms fail to select the applet.
ctap-2.0-ps-20190130#8.2.4#7924ba08	MUST	Authenticators MUST support short and extended length encoding for this APDU.
ctap-2.0-ps-20190130#8.2.4.1#76fca4c5	MUST	Commands SHALL have the following format: CLA INS P1 P2 Data In Le 0x80 0x10 0x00 0x00 CTAP Command Byte || CBOR Encoded Data Variable.
ctap-2.0-ps-20190130#8.2.4.2#d5b12518	MUST	Response SHALL have the following format in case of success: Case Data Status word Success CTAP Status code || Response data "9000" - Success Status update Stat
ctap-2.0-ps-20190130#8.2.5#2d6bb0a5	MUST	• If the request was encoded using short APDU encoding, the authenticator MUST respond using ISO 7816-4 APDU chaining.
ctap-2.0-ps-20190130#8.2.5#a168dfcc	MUST	For this reason, FIDO2 authenticators MUST respond in the following way:
ctap-2.0-ps-20190130#8.2.5#bf8c3e48	MUST	If the request does not fit a short APDU command, the client MUST use ISO 7816-4 APDU chaining.
ctap-2.0-ps-20190130#8.2.5#d9b49909	MUST	• If the request was encoded using extended length APDU encoding, the authenticator MUST respond using the extended length APDU response format.
ctap-2.0-ps-20190130#8.2.5#e560ffda	MUST	Short APDU Chaining commands SHALL have the following format: CLA INS P1 P2 Data In 0x90 0x10 0x00 0x00 CTAP Payload.
ctap-2.0-ps-20190130#8.2.6.1#7a165ee4	MUST	The values for P1 for the NFCCTAP_MSG command are: P1 Bits Meaning 0x80 The client supports NFCCTAP_GETRESPONSE 0x7F RFU, must be (0x00) Values for P2 are all R
ctap-2.0-ps-20190130#8.2.6.1#9635a3b4	MUST	This command SHALL return as soon as processing is done.
ctap-2.0-ps-20190130#8.2.6.2#6bebefb2	MUST	All values for P1 and P2 are RFU and MUST be set to 0x00.
ctap-2.0-ps-20190130#8.2.6.2#6cc99ea0	MUST	This command SHALL return a 0x9100 result with a status indication if it has a status update, the reply to the request with a 0x9000 result code to indicate suc
ctap-2.0-ps-20190130#8.3.1#d4bc79aa	MUST	Bluetooth SIG specified UUID values SHALL be found on the Assigned Numbers website [BTASSNUM].
ctap-2.0-ps-20190130#8.3.1#d59a0c4a	MUST	Authenticator and client devices using Bluetooth Low Energy Technology SHALL conform to Bluetooth Core Specification 4.0 or later [BTCORE].
ctap-2.0-ps-20190130#8.3.11#5ada0f2e	MUST NOT	A client MUST NOT remember the notification status in its own data storage.
ctap-2.0-ps-20190130#8.3.13#072eefc3	MUST	• Upon initial connection to an authenticator, and upon receipt of a response from an authenticator, if a client has more commands to issue, the client MUST tra
ctap-2.0-ps-20190130#8.3.13#8927c4a1	MUST	• Upon sending a command response that did not consume a test of user presence, the authenticator MUST assume that the client may wish to initiate another comma
ctap-2.0-ps-20190130#8.3.2#03173805	SHOULD	As a result, authenticator manufacturers SHOULD instruct users to avoid performing Bluetooth pairing in a public space such as a cafe, shop or train station.
ctap-2.0-ps-20190130#8.3.2#0b906015	MUST	For these reasons, clients and authenticators MUST create and use a long-term link key (LTK) and SHALL encrypt all communications.
ctap-2.0-ps-20190130#8.3.2#df963270	MUST	Authenticator MUST never use short term keys.
ctap-2.0-ps-20190130#8.3.3#88c728e7	MUST	For Bluetooth Low Energy Technology connections, the authenticator SHALL enforce Security Mode 1, Level 2 (unauthenticated pairing with encryption) or Security 
ctap-2.0-ps-20190130#8.3.5#09f8bb1e	MUST	The following figure illustrates the mandatory services and characteristics that SHALL be offered by a FIDO Authenticator as part of its GATT server:
ctap-2.0-ps-20190130#8.3.5#a9bbbfb0	MUST	• The FIDO Authenticator SHALL be a GATT Server.
ctap-2.0-ps-20190130#8.3.5#d22fa303	MUST	Mandatory GATT services and characteristics that MUST be offered by a FIDO Authenticator.
ctap-2.0-ps-20190130#8.3.5#d485af20	MUST	• The FIDO Client SHALL be a GATT Client.
ctap-2.0-ps-20190130#8.3.5.1#1159015e	MUST	The UUID for the FIDO GATT service is 0xFFFD; it SHALL be declared as a Primary Service.
ctap-2.0-ps-20190130#8.3.5.1#3390266d	MUST	If only U2F version 1.0 is supported, this characteristic SHALL be omitted.
ctap-2.0-ps-20190130#8.3.5.1#4f5343b1	MUST	This field SHALL be omitted if protocol version 1.0 is not supported.
ctap-2.0-ps-20190130#8.3.5.1#4fc21e97	MUST	This value SHALL be between 20 and 512. fidoServiceRevision is a deprecated field that is only relevant to U2F 1.0 support.
ctap-2.0-ps-20190130#8.3.5.1#569e77b0	MUST	The client SHALL write a value to this characteristic with exactly 1 bit set before sending any FIDO commands unless u2fServiceRevision is present and U2F 1.0 c
ctap-2.0-ps-20190130#8.3.5.1#5d470e6d	MUST	An authenticator SHALL implement the FIDO Service described below.
ctap-2.0-ps-20190130#8.3.5.1#c763e569	MUST	For version 1.0 of the specification, the value fidoServiceRevision SHALL be 1.0 or in raw bytes: 0x312e30.
ctap-2.0-ps-20190130#8.3.5.2#5b98c060	MUST	An authenticator SHALL implement the Device Information Service [BTDIS] with the following characteristics: • Model Number String
ctap-2.0-ps-20190130#8.3.5.2#90493aa7	MUST	An authenticator SHALL implement the Device Information Service [BTDIS] with the following characteristics:
ctap-2.0-ps-20190130#8.3.5.2#c45c1150	MUST	An authenticator SHALL implement the Device Information Service [BTDIS] with the following characteristics: • Firmware Revision String All values for the Device
ctap-2.0-ps-20190130#8.3.5.2#e63f0e28	MUST	An authenticator SHALL implement the Device Information Service [BTDIS] with the following characteristics: • Manufacturer Name String
ctap-2.0-ps-20190130#8.3.5.3#8b62b90f	MUST	Every authenticator SHALL implement the Generic Access Profile Service [BTGAS] with the following characteristics: • Device Name
ctap-2.0-ps-20190130#8.3.5.3#eda4c10b	MUST	Every authenticator SHALL implement the Generic Access Profile Service [BTGAS] with the following characteristics:
ctap-2.0-ps-20190130#8.3.5.3#ffbb0faf	MUST	Every authenticator SHALL implement the Generic Access Profile Service [BTGAS] with the following characteristics: • Appearance
ctap-2.0-ps-20190130#8.3.6#27c6cd8a	MUST	Authenticator SHALL only allow connections from previously bonded clients without user intervention.
ctap-2.0-ps-20190130#8.3.6#7c57645f	MUST	4 If not already paired, the client and authenticator SHALL perform BLE pairing and create a LTK.
ctap-2.0-ps-20190130#8.3.7#38974a91	MUST	When advertising, the authenticator SHALL advertise the FIDO service UUID.
ctap-2.0-ps-20190130#8.3.7#8c8cfee8	MUST	The authenticator SHALL also implement the Generic Access Profile [BTGAP] and Device Information Service [BTDIS], both of which also provide a user-friendly nam
ctap-2.0-ps-20190130#8.3.7#929f5d6a	MUST	When advertising in pairing mode, the authenticator SHALL either: (1) set the LE Limited Mode bit to zero and the LE General Discoverable bit to one OR (2) set 
ctap-2.0-ps-20190130#8.3.7#b593ab84	MUST	When advertising in non-pairing mode, the authenticator SHALL set both the LE Limited Mode bit and the LE General Discoverable Mode bit to zero in the Advertisi
ctap-2.0-ps-20190130#8.3.8#77f95025	SHOULD	Clients SHOULD make requests by connecting to the authenticator and performing a write into the fidoControlPoint characteristic.
ctap-2.0-ps-20190130#8.3.8#d15f30fe	MUST	Upon receiving a CANCEL request, if there is an outstanding request that can be cancelled, the authenticator MUST cancel it and that cancelled request will repl
ctap-2.0-ps-20190130#8.3.8#d797b2ba	MUST NOT	Whether a request was cancelled or not, the authenticator MUST NOT reply to the cancel message itself.
ctap-2.0-ps-20190130#8.3.9#20892523	MUST	Some authenticators might alert users or prompt them to complete the test of user presence (e.g., via sound, light, vibration) Upon receiving any request, the a
ctap-2.0-ps-20190130#8.3.9#3410a738	MUST	Upon receiving a KEEPALIVE command, the client SHALL assume the authenticator is still processing the command; the client SHALL not resend the command.
ctap-2.0-ps-20190130#8.3.9#83968c92	SHOULD	Authenticators SHOULD respond to clients by sending notifications on the fidoStatus characteristic.
ctap-2.0-ps-20190130#8.3.9#ae185355	MUST	As soon the authenticator has completed processing and confirmed user presence, it SHALL stop sending KEEPALIVE commands, and send the reply.
ctap-2.0-ps-20190130#8.3.9#d8f0ec76	MUST NOT	Until a client-defined timeout occurs, the client SHALL NOT move on to other devices when it receives a KEEPALIVE with UP_NEEDED status, as it knows this is a d
ctap-2.0-ps-20190130#8.3.9#ebf006cf	MUST	The authenticator SHALL continue sending KEEPALIVE messages at least every kKeepAliveMillis to indicate that it is still handling the request.
draft-miller-ssh-agent-17#2#df5066fc	SHOULD	For this reason, clients of the agent SHOULD be prepared to fail gracefully if any operation is refused.
draft-miller-ssh-agent-17#3.2#16d75720	MUST	If an agent does not recognise the type name in a request to add a key, then it MUST fail gracefully and respond with a SSH_AGENT_FAILURE reply.
draft-miller-ssh-agent-17#3.2.7#be50496d	MUST	The extension name MUST consist of a UTF-8 string suffixed by the implementation domain following the naming scheme defined in Section 4.2 of [RFC4251], e.g. "f
draft-miller-ssh-agent-17#3.2.7#ec2f4cdd	MUST	If an agent does not recognise or support a requested constraint it MUST refuse the request and return a SSH_AGENT_FAILURE message to the client.
draft-miller-ssh-agent-17#3.4#fbb1013f	SHOULD	Requesting deletion of smartcard-hosted keys SHOULD cause the agent to remove all keys loaded from that smartcard.
draft-miller-ssh-agent-17#3.7#42c91836	SHOULD	An agent SHOULD take countermeasures against brute-force guessing attacks against the pass-phrase.
draft-miller-ssh-agent-17#3.8#b15906ca	MUST	An agent that does not support extensions of the supplied type MUST reply with an empty SSH_AGENT_FAILURE message.
draft-miller-ssh-agent-17#4.2#16647f72	SHOULD	The latter "agent-req" name SHOULD only be used if support was explicitly advertised as per Section 4.1.
draft-miller-ssh-agent-17#4.3#0ad3e3de	SHOULD	As above, the latter "agent-connect" open type name SHOULD only be used if support was explicitly advertised as per Section 4.1.
draft-miller-ssh-agent-17#4.3#587ec9b9	MUST	A client MUST refuse unauthorised agent connection requests, i.e. when agent forwarding was not desired or requested but a server sends an agent connection requ
draft-miller-ssh-agent-17#4.3#def853cd	SHOULD	A client SHOULD be prepared to handle multiple concurrent active agent connections.
draft-miller-ssh-agent-17#5.1.1#b7916ee1	MUST NOT	These message numbers MAY be used by an implementation supporting the legacy protocol but MUST NOT be reused otherwise.
draft-miller-ssh-agent-17#5.1.1#e5b3c511	MUST NOT	The range of message numbers 240-255 are reserved for organization- local extensions to the agent protocol and MUST NOT be used by generic implementations.
draft-miller-ssh-agent-17#7#56dda116	SHOULD	While a full treatment of side-channel attacks is beyond the scope of this specification, agents SHOULD use cryptographic implementations that are resistant to 
draft-miller-ssh-agent-17#7#8d974984	SHOULD NOT	SSH implementations SHOULD NOT forward use of an agent by default and MAY implement additional controls over key visibility and use for forwarded agent connecti
fapi-2_0-message-signing#11#c3d22f42	MUST	OpenID invites any interested party to bring to its attention any copyrights, patents, patent applications, or other proprietary rights that may cover technolog
fapi-2_0-message-signing#5.3.2#53e126d0	MUST	3 shall send a nbf claim in the request object;
fapi-2_0-message-signing#5.3.2#568fde4f	MUST	4 shall send an exp claim in the request object that has a lifetime of no longer than 60 minutes;
fapi-2_0-message-signing#5.3.2#9b32af15	MUST	2 shall send the aud claim in the request object as the authorization server's issuer identifier URL;
fapi-2_0-message-signing#5.3.2#e58794f4	SHOULD	5 should send a typ header parameter with a value oauth-authz-req+jwt.
fapi-2_0-message-signing#5.3.2#f5fb6544	MUST	1 shall send all authorization parameters to the PAR endpoint [RFC9126] in a JAR [RFC9101] signed requested object;
fapi-2_0-message-signing#5.4.1#45d53935	MUST	1 shall support, require use of, and issue signed authorization responses via JWT Secured Authorization Response Mode for OAuth 2.0 [JARM].
fapi-2_0-message-signing#5.4.2#64dba1fe	MUST	1 shall set the response_mode to jwt in the authorization request as defined in [JARM]; and.
fapi-2_0-message-signing#5.4.2#6a5d3e75	MUST	2 shall verify signed authorization responses according to [JARM].
fapi-2_0-message-signing#5.5.1#d7654767	MUST	1 shall sign introspection responses that are issued in JWT format according to [RFC9701].
fapi-2_0-message-signing#5.5.2#79c507d2	MUST	1 shall request signed token introspection responses according to [RFC9701]; and.
fapi-2_0-message-signing#5.5.2#a9b1683b	MUST	2 shall verify the signed token introspection responses.
fapi-2_0-message-signing#5.6.2#2909375c	MUST	1 shall verify the signature of the signed ID token received.
fapi-2_0-message-signing#6.1#0f881bfa	SHOULD NOT	In addition, to achieve greater interoperability, it is not recommended to use encryption in this case.
fapi-2_0-message-signing#6.1#fe7964f0	MUST	In FAPI2, there is no confidential information in the authorization response, hence encryption of the authorization response is not required for the purposes of
fapi-2_0-message-signing#6.2#abef9201	MUST	The authorization server therefore must ensure that the resource server is not confused with a regular client that is not supposed to call the introspection end
fapi-2_0-message-signing#7#1809c712	MUST	If they are stored then adequate access controls must be put in place to protect that data.
fapi-2_0-message-signing#7#2ba9a32d	SHOULD	Such controls should follow data minimisation principles and ensure that there are tamper-proof audit logs.
fapi-2_0-message-signing#7#8336a9b1	SHOULD	Such messages may well contain personally identifiable information and implementers should evaluate whether such messages need to be stored.
fapi-2_0-message-signing#7#e354f15f	SHOULD	In addition to the privacy considerations detailed in [FAPI2_Security_Profile] implementers should consider the privacy implications of storing messages for the
fapi-2_0-security-profile#10#c3d22f42	MUST	OpenID invites any interested party to bring to its attention any copyrights, patents, patent applications, or other proprietary rights that may cover technolog
fapi-2_0-security-profile#5.1.2#f5f2f0da	MUST NOT	However, for a profile to be compliant with this document, the profile shall not remove or override mandatory behaviors, as doing so is likely to invalidate the
fapi-2_0-security-profile#5.2.1#57834899	SHOULD	4 should use DNSSEC to protect against DNS spoofing attacks that can lead to the issuance of rogue domain-validated TLS certificates; and.
fapi-2_0-security-profile#5.2.1#958df66b	MUST	1 shall only offer TLS protected endpoints and shall establish connections to other servers using TLS;
fapi-2_0-security-profile#5.2.1#a026acd5	MUST	5 shall perform a TLS server certificate check, as per [RFC9525].
fapi-2_0-security-profile#5.2.1#e49eb88a	MUST	3 shall follow the recommendations for Secure Use of Transport Layer Security in [BCP195];
fapi-2_0-security-profile#5.2.1#f4631543	MUST	2 shall set up TLS connections using TLS version 1.2 or later;
fapi-2_0-security-profile#5.2.2#a7574135	SHOULD	2 When using TLS 1.2, clients should only permit the cipher suites recommended in [BCP195].
fapi-2_0-security-profile#5.2.2#df498e84	MUST	1 When using TLS 1.2, servers shall only permit the cipher suites recommended in [BCP195];
fapi-2_0-security-profile#5.2.2.1#a3ef44c3	MUST	• client implementations shall use client metadata use_mtls_endpoint_aliases (see Section 5.2.2.1.1), if present, for endpoint communications.
fapi-2_0-security-profile#5.2.2.1#d24bd179	SHOULD	• MTLS ecosystems should provide the trust list of the certificate authorities;
fapi-2_0-security-profile#5.2.3#3019d981	MUST	2 When using TLS 1.2, servers shall only use cipher suites allowed in [BCP195].
fapi-2_0-security-profile#5.2.3#94539983	MUST	3 Servers shall not support CORS [CORS.Protocol] for the authorization endpoint, as clients must perform an HTTP redirect rather than access this endpoint direc
fapi-2_0-security-profile#5.2.3#9f1c6b89	MUST	1 Servers shall use methods to ensure that connections cannot be downgraded using TLS stripping attacks.
fapi-2_0-security-profile#5.3.2.3#437cda2b	MUST	If it is desired to provide the authenticated user's identifier to the client in the token response, the authorization server shall support OpenID Connect [OIDC
fapi-2_0-security-profile#5.3.3.1#0c7535c4	MUST	3 shall send access tokens in the HTTP header as in Section 2.1 of OAuth 2.0 Bearer Token Usage [RFC6750] or Section 7.1 of DPoP [RFC9449];
fapi-2_0-security-profile#5.3.3.1#1258296a	MUST	12 shall initiate an authorization process only with the end-user's explicit or implicit consent and protect initiation of an authorization process against cros
fapi-2_0-security-profile#5.3.3.1#242357eb	MUST	8 if using DPoP, shall support the server provided nonce mechanism (as defined in Section 8 of [RFC9449]);
fapi-2_0-security-profile#5.3.3.1#27fc4208	MUST	10 shall ensure that the issuer URL used as the basis for retrieving the authorization server metadata is obtained from an authoritative source and using a secu
fapi-2_0-security-profile#5.3.3.1#42506aa5	MUST	1 shall support sender-constrained access tokens using one or both of the following methods:
fapi-2_0-security-profile#5.3.3.1#51d20b57	MUST	The issuer identifier value shall be sent as a string not as an item in an array.
fapi-2_0-security-profile#5.3.3.1#73f43246	MUST	7 if using MTLS client authentication or MTLS sender-constrained access tokens, shall support the mtls_endpoint_aliases metadata defined in [RFC8705];
fapi-2_0-security-profile#5.3.3.1#73f8e418	SHOULD	In such circumstances a client should consider using the HTTP date header returned from the server to synchronize its own clock when generating client assertion
fapi-2_0-security-profile#5.3.3.1#777f0cf3	MUST	11 shall ensure that this issuer URL and the issuer value in the obtained metadata match;
fapi-2_0-security-profile#5.3.3.1#7a3b3aa1	MUST	5 if using private_key_jwt, shall use the authorization server's issuer identifier value (as defined in [RFC8414]) in the aud claim in client authentication ass
fapi-2_0-security-profile#5.3.3.1#ad56ab50	MUST	9 shall only use authorization server metadata (such as the authorization endpoint) retrieved from the metadata document as specified in [OIDD] and [RFC8414];
fapi-2_0-security-profile#5.3.3.1#c7777fd0	MUST	6 shall support refresh tokens and their rotation;
fapi-2_0-security-profile#5.3.3.1#d52aa7a1	SHOULD	13 should request authorization with the least privileges necessary for the specific application or use case.
fapi-2_0-security-profile#5.3.3.1#e1383af8	MUST NOT	4 shall not expose open redirectors (see Section 4.11 of [I-D.ietf-oauth-security-topics]);
fapi-2_0-security-profile#5.3.3.1#e3a8fa72	MUST	2 shall support client authentication using one or both of the following methods:
fapi-2_0-security-profile#5.3.3.2#1e4e3cd9	MUST	3 shall use PKCE [RFC7636] with S256 as the code challenge method;
fapi-2_0-security-profile#5.3.3.2#357da2f7	SHOULD NOT	7 if using [OIDC], should not use nonce parameter values longer than 64 characters.
fapi-2_0-security-profile#5.3.3.2#4bdb462a	MUST	6 shall only send client_id and request_uri request parameters to the authorization endpoint (all other authorization request parameters are sent in the pushed 
fapi-2_0-security-profile#5.3.3.2#57076d1c	MUST	4 shall generate the PKCE challenge specifically for each authorization request and securely bind the challenge to the client and the user agent in which the fl
fapi-2_0-security-profile#5.3.3.2#68194010	MUST	5 shall check the iss parameter in the authorization response according to [RFC9207] to prevent mix-up attacks;
fapi-2_0-security-profile#5.3.3.2#9210f34d	MUST	1 shall use the authorization code grant described in [RFC6749];
fapi-2_0-security-profile#5.3.3.2#cd292b3d	MUST	2 shall use pushed authorization requests according to [RFC9126];
fapi-2_0-security-profile#5.3.4#2b73856f	MUST NOT	2 shall not accept access tokens in the query parameters stated in Section 2.3 of OAuth 2.0 Bearer Token Usage [RFC6750];
fapi-2_0-security-profile#5.3.4#3f875859	MUST	4 shall verify that the authorization represented by the access token is sufficient for the requested resource access and otherwise return errors as in Section 
fapi-2_0-security-profile#5.3.4#861bf95e	MUST	3 shall verify the validity, integrity, expiration and revocation status of access tokens;
