req_id	spec	section	strength	all_strengths	section_title	text
ctap-2.0-ps-20190130#6#5e395daa	ctap-2.0-ps-20190130	6	MUST	MUST,SHOULD	Message Encoding	Many transports (e.g., Bluetooth Smart) are bandwidth-constrained, and serialization formats such as JSON are too heavy-weight for such environments. For this reason, all encoding is done using the concise binary encoding CBOR [RFC7049]. To reduce the complexity of the messages and the resources required to parse and validate them, all messages MUST use the CTAP2 canonical CBOR encoding form as specified below, which differs from the canonicalization suggested CTAP2 canonical CBOR encoding form as specified in Section 3.9 of [RFC7049]. All encoders MUST serialize CBOR in the CTAP2 canonical CBOR encoding form without duplicate map keys. All decoders SHOULD reject CBOR that is not validly encoded in the CTAP2 canonical CBOR encoding form and SHOULD reject messages with duplicate map keys. The CTAP2 canonical CBOR encoding form uses the following rules: • The representations of any floating-point values are not changed.
ctap-2.0-ps-20190130#6#212e8e1f	ctap-2.0-ps-20190130	6	MUST	MUST,SHOULD	Message Encoding	Many transports (e.g., Bluetooth Smart) are bandwidth-constrained, and serialization formats such as JSON are too heavy-weight for such environments. For this reason, all encoding is done using the concise binary encoding CBOR [RFC7049]. To reduce the complexity of the messages and the resources required to parse and validate them, all messages MUST use the CTAP2 canonical CBOR encoding form as specified below, which differs from the canonicalization suggested CTAP2 canonical CBOR encoding form as specified in Section 3.9 of [RFC7049]. All encoders MUST serialize CBOR in the CTAP2 canonical CBOR encoding form without duplicate map keys. All decoders SHOULD reject CBOR that is not validly encoded in the CTAP2 canonical CBOR encoding form and SHOULD reject messages with duplicate map keys. The CTAP2 canonical CBOR encoding form uses the following rules: • The expression of lengths in major types 2 through 5 must be as short as possible. The rules for these lengths follow the above rule for integers.
ctap-2.0-ps-20190130#6#a2eea360	ctap-2.0-ps-20190130	6	MUST	MUST,SHOULD	Message Encoding	Many transports (e.g., Bluetooth Smart) are bandwidth-constrained, and serialization formats such as JSON are too heavy-weight for such environments. For this reason, all encoding is done using the concise binary encoding CBOR [RFC7049]. To reduce the complexity of the messages and the resources required to parse and validate them, all messages MUST use the CTAP2 canonical CBOR encoding form as specified below, which differs from the canonicalization suggested CTAP2 canonical CBOR encoding form as specified in Section 3.9 of [RFC7049]. All encoders MUST serialize CBOR in the CTAP2 canonical CBOR encoding form without duplicate map keys. All decoders SHOULD reject CBOR that is not validly encoded in the CTAP2 canonical CBOR encoding form and SHOULD reject messages with duplicate map keys. The CTAP2 canonical CBOR encoding form uses the following rules: • Indefinite-length items must be made into definite-length items.
ctap-2.0-ps-20190130#6#2e1592b2	ctap-2.0-ps-20190130	6	MUST	MUST,SHOULD	Message Encoding	Many transports (e.g., Bluetooth Smart) are bandwidth-constrained, and serialization formats such as JSON are too heavy-weight for such environments. For this reason, all encoding is done using the concise binary encoding CBOR [RFC7049]. To reduce the complexity of the messages and the resources required to parse and validate them, all messages MUST use the CTAP2 canonical CBOR encoding form as specified below, which differs from the canonicalization suggested CTAP2 canonical CBOR encoding form as specified in Section 3.9 of [RFC7049]. All encoders MUST serialize CBOR in the CTAP2 canonical CBOR encoding form without duplicate map keys. All decoders SHOULD reject CBOR that is not validly encoded in the CTAP2 canonical CBOR encoding form and SHOULD reject messages with duplicate map keys. The CTAP2 canonical CBOR encoding form uses the following rules: • The keys in every map must be sorted lowest value to highest. The sorting rules are:
ctap-2.0-ps-20190130#6#5b116f95	ctap-2.0-ps-20190130	6	MUST	MUST,SHOULD	Message Encoding	Many transports (e.g., Bluetooth Smart) are bandwidth-constrained, and serialization formats such as JSON are too heavy-weight for such environments. For this reason, all encoding is done using the concise binary encoding CBOR [RFC7049]. To reduce the complexity of the messages and the resources required to parse and validate them, all messages MUST use the CTAP2 canonical CBOR encoding form as specified below, which differs from the canonicalization suggested CTAP2 canonical CBOR encoding form as specified in Section 3.9 of [RFC7049]. All encoders MUST serialize CBOR in the CTAP2 canonical CBOR encoding form without duplicate map keys. All decoders SHOULD reject CBOR that is not validly encoded in the CTAP2 canonical CBOR encoding form and SHOULD reject messages with duplicate map keys. The CTAP2 canonical CBOR encoding form uses the following rules: ◦ If the major types are different, the one with the lower value in numerical order sorts earlier.
ctap-2.0-ps-20190130#6#4d6b6cc2	ctap-2.0-ps-20190130	6	MUST	MUST,SHOULD	Message Encoding	Many transports (e.g., Bluetooth Smart) are bandwidth-constrained, and serialization formats such as JSON are too heavy-weight for such environments. For this reason, all encoding is done using the concise binary encoding CBOR [RFC7049]. To reduce the complexity of the messages and the resources required to parse and validate them, all messages MUST use the CTAP2 canonical CBOR encoding form as specified below, which differs from the canonicalization suggested CTAP2 canonical CBOR encoding form as specified in Section 3.9 of [RFC7049]. All encoders MUST serialize CBOR in the CTAP2 canonical CBOR encoding form without duplicate map keys. All decoders SHOULD reject CBOR that is not validly encoded in the CTAP2 canonical CBOR encoding form and SHOULD reject messages with duplicate map keys. The CTAP2 canonical CBOR encoding form uses the following rules: ◦ If two keys have different lengths, the shorter one sorts earlier;
ctap-2.0-ps-20190130#6#5244b637	ctap-2.0-ps-20190130	6	MUST	MUST,SHOULD	Message Encoding	Many transports (e.g., Bluetooth Smart) are bandwidth-constrained, and serialization formats such as JSON are too heavy-weight for such environments. For this reason, all encoding is done using the concise binary encoding CBOR [RFC7049]. To reduce the complexity of the messages and the resources required to parse and validate them, all messages MUST use the CTAP2 canonical CBOR encoding form as specified below, which differs from the canonicalization suggested CTAP2 canonical CBOR encoding form as specified in Section 3.9 of [RFC7049]. All encoders MUST serialize CBOR in the CTAP2 canonical CBOR encoding form without duplicate map keys. All decoders SHOULD reject CBOR that is not validly encoded in the CTAP2 canonical CBOR encoding form and SHOULD reject messages with duplicate map keys. The CTAP2 canonical CBOR encoding form uses the following rules: ◦ If two keys have the same length, the one with the lower value in (byte-wise) lexical order sorts earlier.
ctap-2.0-ps-20190130#6#704933cd	ctap-2.0-ps-20190130	6	MUST	MUST,SHOULD	Message Encoding	Many transports (e.g., Bluetooth Smart) are bandwidth-constrained, and serialization formats such as JSON are too heavy-weight for such environments. For this reason, all encoding is done using the concise binary encoding CBOR [RFC7049]. To reduce the complexity of the messages and the resources required to parse and validate them, all messages MUST use the CTAP2 canonical CBOR encoding form as specified below, which differs from the canonicalization suggested CTAP2 canonical CBOR encoding form as specified in Section 3.9 of [RFC7049]. All encoders MUST serialize CBOR in the CTAP2 canonical CBOR encoding form without duplicate map keys. All decoders SHOULD reject CBOR that is not validly encoded in the CTAP2 canonical CBOR encoding form and SHOULD reject messages with duplicate map keys. The CTAP2 canonical CBOR encoding form uses the following rules: • Note: These rules are equivalent to a lexicographical comparison of the canonical encoding of keys for major types 0-3 and 7 (integers, strings, and simple values). They differ for major types 4-6 (arrays, maps, and tags), which CTAP2 does not use as keys in maps. These rules should be revisited if CTAP2 does start using the complex major types as keys.
ctap-2.0-ps-20190130#6#2c6e6afb	ctap-2.0-ps-20190130	6	MUST NOT	MUST NOT	Message Encoding	• Tags as defined in Section 2.4 in [RFC7049] MUST NOT be present.
ctap-2.0-ps-20190130#6#a5ff7534	ctap-2.0-ps-20190130	6	MUST	MUST	Message Encoding	Authenticators MUST support at least 4 levels of CBOR nesting.
ctap-2.0-ps-20190130#6#04328ea5	ctap-2.0-ps-20190130	6	MUST NOT	MUST NOT	Message Encoding	Clients, platforms, and servers MUST NOT use more than 4 levels of CBOR nesting.
ctap-2.0-ps-20190130#6#0d0b3a1c	ctap-2.0-ps-20190130	6	MUST	MUST	Message Encoding	By default, authenticators MUST support messages of at least 1024 bytes.
ctap-2.0-ps-20190130#6#cdda3250	ctap-2.0-ps-20190130	6	MUST NOT	MUST NOT	Message Encoding	Clients, platforms, and servers MUST NOT send messages larger than 1024 bytes unless the authenticator’s maxMsgSize indicates support for the larger message size.
ctap-2.0-ps-20190130#6#772d2de5	ctap-2.0-ps-20190130	6	MUST	MUST	Message Encoding	If map keys are present that an implementation does not understand, they MUST be ignored.
ctap-2.0-ps-20190130#6#da40893a	ctap-2.0-ps-20190130	6	SHOULD	SHOULD	Message Encoding	Authenticators SHOULD return the CTAP2_ERR_INVALID_CBOR error if received CBOR does not conform to the requirements above.
ctap-2.0-ps-20190130#6.1#5bb67a75	ctap-2.0-ps-20190130	6.1	MUST	MUST	Commands	For this version of the spec, this SHALL be the number 1.
ctap-2.0-ps-20190130#6.2#1b68d5cc	ctap-2.0-ps-20190130	6.2	MUST	MUST,MUST NOT	Responses	The COSE_Key-encoded public key MUST contain the optional "alg" parameter and MUST NOT contain any other optional parameters.
ctap-2.0-ps-20190130#6.2#c5dd4c84	ctap-2.0-ps-20190130	6.2	MUST	MUST	Responses	The "alg" parameter MUST contain a COSEAlgorithmIdentifier value.
ctap-2.0-ps-20190130#6.3#ee3a09d3	ctap-2.0-ps-20190130	6.3	MUST	MUST	Status codes	Code Name Description 0x00 CTAP1_ERR_SUCCESS, CTAP2_OK Indicates successful response. 0x01 CTAP1_ERR_INVALID_COMMAND The command is not a valid CTAP command. 0x02 CTAP1_ERR_INVALID_PARAMETER The command included an invalid parameter. 0x03 CTAP1_ERR_INVALID_LENGTH Invalid message or item length. 0x04 CTAP1_ERR_INVALID_SEQ Invalid message sequencing. 0x05 CTAP1_ERR_TIMEOUT Message timed out. 0x06 CTAP1_ERR_CHANNEL_BUSY Channel busy. 0x0A CTAP1_ERR_LOCK_REQUIRED Command requires channel lock. 0x0B CTAP1_ERR_INVALID_CHANNEL Command not allowed on this cid. 0x11 CTAP2_ERR_CBOR_UNEXPECTED_TYPE Invalid/unexpected CBOR error. 0x12 CTAP2_ERR_INVALID_CBOR Error when parsing CBOR. 0x14 CTAP2_ERR_MISSING_PARAMETER Missing non-optional parameter. 0x15 CTAP2_ERR_LIMIT_EXCEEDED Limit for number of items exceeded. 0x16 CTAP2_ERR_UNSUPPORTED_EXTENSION Unsupported extension. 0x19 CTAP2_ERR_CREDENTIAL_EXCLUDED Valid credential found in the exclude list. 0x21 CTAP2_ERR_PROCESSING Processing (Lengthy operation is in progress). 0x22 CTAP2_ERR_INVALID_CREDENTIAL Credential not valid for the authenticator. 0x23 CTAP2_ERR_USER_ACTION_PENDING Authentication is waiting for user interaction. 0x24 CTAP2_ERR_OPERATION_PENDING Processing, lengthy operation is in progress. 0x25 CTAP2_ERR_NO_OPERATIONS No request is pending. 0x26 CTAP2_ERR_UNSUPPORTED_ALGORITHM Authenticator does not support requested algorithm. 0x27 CTAP2_ERR_OPERATION_DENIED Not authorized for requested operation. 0x28 CTAP2_ERR_KEY_STORE_FULL Internal key storage is full. 0x2A CTAP2_ERR_NO_OPERATION_PENDING No outstanding operations. 0x2B CTAP2_ERR_UNSUPPORTED_OPTION Unsupported option. 0x2C CTAP2_ERR_INVALID_OPTION Not a valid option for current operation. 0x2D CTAP2_ERR_KEEPALIVE_CANCEL Pending keep alive was cancelled. 0x2E CTAP2_ERR_NO_CREDENTIALS No valid credentials provided. 0x2F CTAP2_ERR_USER_ACTION_TIMEOUT Timeout waiting for user interaction. 0x30 CTAP2_ERR_NOT_ALLOWED Continuation command, such as, authenticatorGetNextAssertion not allowed. 0x31 CTAP2_ERR_PIN_INVALID PIN Invalid. 0x32 CTAP2_ERR_PIN_BLOCKED PIN Blocked. 0x33 CTAP2_ERR_PIN_AUTH_INVALID PIN authentication,pinAuth, verification failed. 0x34 CTAP2_ERR_PIN_AUTH_BLOCKED PIN authentication,pinAuth, blocked.
ctap-2.0-ps-20190130#6.3#111aaeac	ctap-2.0-ps-20190130	6.3	MUST	MUST	Status codes	Requires power recycle to reset. 0x35 CTAP2_ERR_PIN_NOT_SET No PIN has been set. 0x36 CTAP2_ERR_PIN_REQUIRED PIN is required for the selected operation. 0x37 CTAP2_ERR_PIN_POLICY_VIOLATION PIN policy violation.
ctap-2.0-ps-20190130#6.3#219aafaa	ctap-2.0-ps-20190130	6.3	MUST	MUST	Status codes	Currently only enforces minimum length. 0x38 CTAP2_ERR_PIN_TOKEN_EXPIRED pinToken expired on authenticator. 0x39 CTAP2_ERR_REQUEST_TOO_LARGE Authenticator cannot handle this request due to memory constraints. 0x3A CTAP2_ERR_ACTION_TIMEOUT The current operation has timed out. 0x3B CTAP2_ERR_UP_REQUIRED User presence is required for the requested operation. 0x7F CTAP1_ERR_OTHER Other unspecified error. 0xDF CTAP2_ERR_SPEC_LAST CTAP 2 spec last error. 0xE0 CTAP2_ERR_EXTENSION_FIRST Extension specific error. 0xEF CTAP2_ERR_EXTENSION_LAST Extension specific error. 0xF0 CTAP2_ERR_VENDOR_FIRST Vendor specific error. 0xFF CTAP2_ERR_VENDOR_LAST Vendor specific error.
ctap-2.0-ps-20190130#8.1.4#2487f6e7	ctap-2.0-ps-20190130	8.1.4	SHOULD	SHOULD	Message and packet structure	Unused bytes SHOULD be set to zero.
ctap-2.0-ps-20190130#8.1.7#c6130466	ctap-2.0-ps-20190130	8.1.7	MUST	MUST	Protocol version and compatibility	This means that a CTAPHID host SHALL support any version of a device with the command set available in that particular version.
ctap-2.0-ps-20190130#8.1.9.1.3#9a23c995	ctap-2.0-ps-20190130	8.1.9.1.3	MUST	MUST	CTAPHID_INIT (0x06)	To allocate a new channel, the requesting application SHALL use the broadcast channel CTAPHID_BROADCAST_CID (0xFFFFFFFF).
ctap-2.0-ps-20190130#8.1.9.1.3#6d010bde	ctap-2.0-ps-20190130	8.1.9.1.3	MUST	MUST	CTAPHID_INIT (0x06)	This version of the CTAPHID protocol is 2. A CTAPHID host SHALL accept a response size that is longer than the anticipated size to allow for future extensions of the protocol, yet maintaining backwards compatibility.
ctap-2.0-ps-20190130#8.1.9.1.5#0161a419	ctap-2.0-ps-20190130	8.1.9.1.5	MUST	MUST	CTAPHID_CANCEL (0x11)	If there is an outstanding request that can be cancelled, the authenticator MUST cancel it and that cancelled request will reply with the error CTAP2_ERR_KEEPALIVE_CANCEL.
ctap-2.0-ps-20190130#8.1.9.1.5#a4217a9f	ctap-2.0-ps-20190130	8.1.9.1.5	MUST NOT	MUST NOT	CTAPHID_CANCEL (0x11)	Whether a request was cancelled or not, the authenticator MUST NOT reply to the CTAPHID_CANCEL message itself.
ctap-2.0-ps-20190130#8.1.9.1.5#9b61c737	ctap-2.0-ps-20190130	8.1.9.1.5	MUST	MUST	CTAPHID_CANCEL (0x11)	The CTAP2_ERR_KEEPALIVE_CANCEL response MUST be the response to that request, not an error response in the HID transport.
ctap-2.0-ps-20190130#8.1.9.1.5#89a871a1	ctap-2.0-ps-20190130	8.1.9.1.5	MUST	MUST	CTAPHID_CANCEL (0x11)	A CTAPHID_CANCEL received while no CTAPHID_CBOR request is being processed, or on a non-active CID SHALL be ignored by the authenticator.
ctap-2.0-ps-20190130#8.1.9.1.6#825c60b4	ctap-2.0-ps-20190130	8.1.9.1.6	MUST	MUST	CTAPHID_ERROR (0x3F)	CMD CTAPHID_ERROR BCNT 1 DATA Error code The following error codes are defined ERR_INVALID_CMD 0x01 The command in the request is invalid ERR_INVALID_PAR 0x02 The parameter(s) in the request is invalid ERR_INVALID_LEN 0x03 The length field (BCNT) is invalid for the request ERR_INVALID_SEQ 0x04 The sequence does not match expected value ERR_MSG_TIMEOUT 0x05 The message has timed out ERR_CHANNEL_BUSY 0x06 The device is busy for the requesting channel ERR_LOCK_REQUIRED 0x0A Command requires channel lock ERR_INVALID_CHANNEL 0x0B CID is not valid.
ctap-2.0-ps-20190130#8.2.2#803c7e27	ctap-2.0-ps-20190130	8.2.2	SHOULD	SHOULD	Protocol	Because of timeouts that may otherwise occur on some platforms, it is RECOMMENDED that the Authenticators reply to APDU commands within 800 milliseconds.
ctap-2.0-ps-20190130#8.2.3#81bc2f42	ctap-2.0-ps-20190130	8.2.3	MUST	MUST	Applet selection	A client SHALL send a Select to the authenticator before any other command.
ctap-2.0-ps-20190130#8.2.3#f324e642	ctap-2.0-ps-20190130	8.2.3	MUST	MUST	Applet selection	Clients MUST fall back to the previously defined selection process if the additional selection mechanisms fail to select the applet.
ctap-2.0-ps-20190130#8.2.3#6981d3c4	ctap-2.0-ps-20190130	8.2.3	MUST	MUST	Applet selection	Authenticators MUST at least support the previously defined selection process.
ctap-2.0-ps-20190130#8.2.3#9c8daa0e	ctap-2.0-ps-20190130	8.2.3	MUST	MUST	Applet selection	• If the authenticator implements CTAP1/U2F, the version information SHALL be the string "U2F_V2", or 0x5532465f5632, to maintain backwards-compatibility with CTAP1/U2F-only clients.
ctap-2.0-ps-20190130#8.2.3#10376484	ctap-2.0-ps-20190130	8.2.3	MUST	MUST	Applet selection	• If the authenticator ONLY implements CTAP2, the device SHALL respond with "FIDO_2_0", or 0x4649444f5f325f30.
ctap-2.0-ps-20190130#8.2.3#17f509a8	ctap-2.0-ps-20190130	8.2.3	MUST	MUST	Applet selection	• If the authenticator implements both CTAP1/U2F and CTAP2, the version information SHALL be the string "U2F_V2", or 0x5532465f5632, to maintain backwards-compatibility with CTAP1/U2F-only clients.
ctap-2.0-ps-20190130#8.2.4#7924ba08	ctap-2.0-ps-20190130	8.2.4	MUST	MUST	Framing	Authenticators MUST support short and extended length encoding for this APDU.
ctap-2.0-ps-20190130#8.2.4.1#76fca4c5	ctap-2.0-ps-20190130	8.2.4.1	MUST	MUST	Commands	Commands SHALL have the following format: CLA INS P1 P2 Data In Le 0x80 0x10 0x00 0x00 CTAP Command Byte || CBOR Encoded Data Variable.
ctap-2.0-ps-20190130#8.2.4.2#d5b12518	ctap-2.0-ps-20190130	8.2.4.2	MUST	MUST	Response	Response SHALL have the following format in case of success: Case Data Status word Success CTAP Status code || Response data "9000" - Success Status update Status data "9100" - OK When receiving this, the ISO transport layer will immediately issue an NFCCTAP_GETREPONSE command unless a cancel was issued.
ctap-2.0-ps-20190130#8.2.5#bf8c3e48	ctap-2.0-ps-20190130	8.2.5	MUST	MUST	Fragmentation	If the request does not fit a short APDU command, the client MUST use ISO 7816-4 APDU chaining.
ctap-2.0-ps-20190130#8.2.5#e560ffda	ctap-2.0-ps-20190130	8.2.5	MUST	MUST	Fragmentation	Short APDU Chaining commands SHALL have the following format: CLA INS P1 P2 Data In 0x90 0x10 0x00 0x00 CTAP Payload.
ctap-2.0-ps-20190130#8.2.5#a168dfcc	ctap-2.0-ps-20190130	8.2.5	MUST	MUST	Fragmentation	For this reason, FIDO2 authenticators MUST respond in the following way:
ctap-2.0-ps-20190130#8.2.5#d9b49909	ctap-2.0-ps-20190130	8.2.5	MUST	MUST	Fragmentation	• If the request was encoded using extended length APDU encoding, the authenticator MUST respond using the extended length APDU response format.
ctap-2.0-ps-20190130#8.2.5#2d6bb0a5	ctap-2.0-ps-20190130	8.2.5	MUST	MUST	Fragmentation	• If the request was encoded using short APDU encoding, the authenticator MUST respond using ISO 7816-4 APDU chaining.
ctap-2.0-ps-20190130#8.2.6.1#9635a3b4	ctap-2.0-ps-20190130	8.2.6.1	MUST	MUST	NFCCTAP_MSG (0x10)	This command SHALL return as soon as processing is done.
ctap-2.0-ps-20190130#8.2.6.1#7a165ee4	ctap-2.0-ps-20190130	8.2.6.1	MUST	MUST	NFCCTAP_MSG (0x10)	The values for P1 for the NFCCTAP_MSG command are: P1 Bits Meaning 0x80 The client supports NFCCTAP_GETRESPONSE 0x7F RFU, must be (0x00) Values for P2 are all RFU and MUST be set to 0.
ctap-2.0-ps-20190130#8.2.6.2#6cc99ea0	ctap-2.0-ps-20190130	8.2.6.2	MUST	MUST	NFCCTAP_GETRESPONSE (0x11)	This command SHALL return a 0x9100 result with a status indication if it has a status update, the reply to the request with a 0x9000 result code to indicate success or an error value.
ctap-2.0-ps-20190130#8.2.6.2#6bebefb2	ctap-2.0-ps-20190130	8.2.6.2	MUST	MUST	NFCCTAP_GETRESPONSE (0x11)	All values for P1 and P2 are RFU and MUST be set to 0x00.
ctap-2.0-ps-20190130#8.3.1#d59a0c4a	ctap-2.0-ps-20190130	8.3.1	MUST	MUST	Conformance	Authenticator and client devices using Bluetooth Low Energy Technology SHALL conform to Bluetooth Core Specification 4.0 or later [BTCORE].
ctap-2.0-ps-20190130#8.3.1#d4bc79aa	ctap-2.0-ps-20190130	8.3.1	MUST	MUST	Conformance	Bluetooth SIG specified UUID values SHALL be found on the Assigned Numbers website [BTASSNUM].
ctap-2.0-ps-20190130#8.3.2#0b906015	ctap-2.0-ps-20190130	8.3.2	MUST	MUST	Pairing	For these reasons, clients and authenticators MUST create and use a long-term link key (LTK) and SHALL encrypt all communications.
